Index;First;Second;Third;Magnitude;Con/Incon;Target;Type of stimuli;Correct cal;Correct angle
1;10;4;5;6;0;1;4;0;30,00
2;10;16;0;6;1;5;1;13;0
3;10;6;0;4;0;3;2;8;0
4;10;5;8;5;0;3;4;0;108,00
5;9;3;0;6;0;1;2;6;0
6;8;15;12;7;1;4;3;0;102,86
7;8;2;7;6;0;5;4;0;150,00
8;8;14;13;6;1;5;3;0;150,00
9;12;16;14;4;1;2;3;0;90,00
10;10;15;0;5;1;2;1;12,5;0
11;9;15;11;6;1;2;3;0;60,00
12;9;15;0;6;1;2;1;12;0
13;10;17;0;7;1;3;1;13,5;0
14;9;14;10;5;1;1;3;0;36,00
15;10;14;13;4;1;3;3;0;135,00
16;9;15;0;6;1;3;1;12;0
17;12;6;10;6;0;4;4;0;120,00
18;12;19;0;7;1;4;1;15,5;0
19;12;19;16;7;1;4;3;0;102,86
20;10;3;7;7;0;4;4;0;102,86
21;11;7;8;4;0;1;4;0;45,00
22;10;3;0;7;0;3;2;6,5;0
23;11;7;0;4;0;3;2;9;0
24;10;17;14;7;1;4;3;0;102,86
25;9;3;0;6;0;3;2;6;0
26;12;19;17;7;1;5;3;0;128,57
27;12;5;9;7;0;4;4;0;102,86
28;11;6;10;5;0;4;4;0;144,00
29;9;13;10;4;1;1;3;0;45,00
30;11;7;0;4;0;2;2;9;0
31;12;17;14;5;1;2;3;0;72,00
32;12;6;0;6;0;2;2;9;0
33;9;5;7;4;0;2;4;0;90,00
34;9;15;0;6;1;4;1;12;0
35;10;16;0;6;1;1;1;13;0
36;12;7;11;5;0;4;4;0;144,00
37;10;15;0;5;1;3;1;12,5;0
38;8;12;0;4;1;1;1;10;0
39;11;5;10;6;0;5;4;0;150,00
40;8;2;6;6;0;4;4;0;120,00
41;10;6;8;4;0;2;4;0;90,00
42;8;2;0;6;0;5;2;5;0
43;10;17;13;7;1;3;3;0;77,14
44;9;14;11;5;1;2;3;0;72,00
45;12;8;11;4;0;3;4;0;135,00
46;11;7;0;4;0;2;2;9;0
47;12;18;0;6;1;4;1;15;0
48;12;17;16;5;1;4;3;0;144,00
49;9;3;0;6;0;5;2;6;0
50;9;15;0;6;1;1;1;12;0
51;12;18;0;6;1;3;1;15;0
52;9;13;0;4;1;1;1;11;0
53;11;18;12;7;1;1;3;0;25,71
54;8;4;5;4;0;1;4;0;45,00
55;8;1;0;7;0;4;2;4,5;0
56;11;5;0;6;0;2;2;8;0
57;8;13;9;5;1;1;3;0;36,00
58;12;7;11;5;0;4;4;0;144,00
59;12;6;10;6;0;4;4;0;120,00
60;12;7;0;5;0;4;2;9,5;0
61;9;5;6;4;0;1;4;0;45,00
62;9;13;0;4;1;1;1;11;0
63;9;16;0;7;1;1;1;12,5;0
64;9;14;0;5;1;2;1;11,5;0
65;11;15;12;4;1;1;3;0;45,00
66;9;5;0;4;0;1;2;7;0
67;12;16;0;4;1;1;1;14;0
68;10;16;13;6;1;3;3;0;90,00
69;12;8;10;4;0;2;4;0;90,00
70;9;4;0;5;0;2;2;6,5;0
71;10;15;11;5;1;1;3;0;36,00
72;11;16;0;5;1;4;1;13,5;0
73;10;4;7;6;0;3;4;0;90,00
74;8;14;0;6;1;1;1;11;0
75;8;1;6;7;0;5;4;0;128,57
76;9;14;0;5;1;3;1;11,5;0
77;12;19;18;7;1;6;3;0;154,29
78;8;15;0;7;1;4;1;11,5;0
79;11;7;10;4;0;3;4;0;135,00
80;12;17;0;5;1;4;1;14,5;0
81;11;6;0;5;0;1;2;8,5;0
82;10;6;0;4;0;2;2;8;0
83;11;18;15;7;1;4;3;0;102,86
84;10;5;0;5;0;1;2;7,5;0
85;10;16;11;6;1;1;3;0;30,00
86;9;16;0;7;1;5;1;12,5;0
87;11;17;16;6;1;5;3;0;150,00
88;11;7;9;4;0;2;4;0;90,00
89;8;2;0;6;0;4;2;5;0
90;8;12;0;4;1;2;1;10;0
91;10;14;0;4;1;2;1;12;0
92;10;6;0;4;0;3;2;8;0
93;8;3;0;5;0;1;2;5,5;0
94;8;14;13;6;1;5;3;0;150,00
95;8;15;12;7;1;4;3;0;102,86
96;12;6;9;6;0;3;4;0;90,00
97;10;14;13;4;1;3;3;0;135,00
98;9;2;0;7;0;5;2;5,5;0
99;8;12;9;4;1;1;3;0;45,00
100;10;16;11;6;1;1;3;0;30,00
101;8;14;0;6;1;4;1;11;0
102;9;14;0;5;1;1;1;11,5;0
103;8;2;0;6;0;5;2;5;0
104;10;6;0;4;0;3;2;8;0
105;9;4;0;5;0;1;2;6,5;0
106;11;16;0;5;1;4;1;13,5;0
107;8;13;0;5;1;3;1;10,5;0
108;11;4;0;7;0;4;2;7,5;0
109;12;16;13;4;1;1;3;0;45,00
110;10;14;0;4;1;3;1;12;0
111;11;16;15;5;1;4;3;0;144,00
112;12;6;0;6;0;4;2;9;0
113;10;14;0;4;1;3;1;12;0
114;9;2;7;7;0;5;4;0;128,57
115;9;15;13;6;1;4;3;0;120,00
116;10;17;0;7;1;1;1;13,5;0
117;11;18;13;7;1;2;3;0;51,43
118;11;17;0;6;1;4;1;14;0
119;8;4;5;4;0;1;4;0;45,00
120;12;5;10;7;0;5;4;0;128,57
121;10;17;0;7;1;3;1;13,5;0
122;10;14;12;4;1;2;3;0;90,00
123;8;13;11;5;1;3;3;0;108,00
124;11;17;0;6;1;2;1;14;0
125;10;3;4;7;0;1;4;0;25,71
126;11;15;14;4;1;3;3;0;135,00
127;10;14;12;4;1;2;3;0;90,00
128;8;1;0;7;0;5;2;4,5;0
129;10;17;0;7;1;1;1;13,5;0
130;10;4;5;6;0;1;4;0;30,00
131;8;2;0;6;0;1;2;5;0
132;9;2;3;7;0;1;4;0;25,71
133;10;17;0;7;1;4;1;13,5;0
134;8;1;0;7;0;5;2;4,5;0
135;11;5;7;6;0;2;4;0;60,00
136;11;17;0;6;1;3;1;14;0
137;9;2;0;7;0;6;2;5,5;0
138;11;5;0;6;0;5;2;8;0
139;12;5;0;7;0;4;2;8,5;0
140;11;17;0;6;1;5;1;14;0
141;9;16;10;7;1;1;3;0;25,71
142;12;8;0;4;0;1;2;10;0
143;8;1;4;7;0;3;4;0;77,14
144;8;12;9;4;1;1;3;0;45,00
145;10;5;6;5;0;1;4;0;36,00
146;8;4;0;4;0;2;2;6;0
147;9;2;8;7;0;6;4;0;154,29
148;12;7;0;5;0;2;2;9,5;0
149;12;17;0;5;1;4;1;14,5;0
150;9;3;0;6;0;2;2;6;0
151;10;5;9;5;0;4;4;0;144,00
152;9;3;5;6;0;2;4;0;60,00
153;12;8;0;4;0;2;2;10;0
154;8;3;4;5;0;1;4;0;36,00
155;9;14;0;5;1;1;1;11,5;0
156;8;15;13;7;1;5;3;0;128,57
157;9;2;3;7;0;1;4;0;25,71
158;12;7;0;5;0;4;2;9,5;0
159;12;7;0;5;0;4;2;9,5;0
160;11;7;0;4;0;1;2;9;0
161;12;5;9;7;0;4;4;0;102,86
162;11;6;10;5;0;4;4;0;144,00
163;8;13;11;5;1;3;3;0;108,00
164;12;16;14;4;1;2;3;0;90,00
165;8;4;0;4;0;1;2;6;0
166;11;15;0;4;1;3;1;13;0
167;10;4;8;6;0;4;4;0;120,00
168;8;3;6;5;0;3;4;0;108,00
169;9;4;6;5;0;2;4;0;72,00
170;9;2;0;7;0;5;2;5,5;0
171;10;4;0;6;0;3;2;7;0
172;11;6;10;5;0;4;4;0;144,00
173;9;13;11;4;1;2;3;0;90,00
174;12;16;13;4;1;1;3;0;45,00
175;11;16;0;5;1;4;1;13,5;0
176;12;8;0;4;0;2;2;10;0
177;12;16;0;4;1;3;1;14;0
178;9;14;11;5;1;2;3;0;72,00
179;11;18;0;7;1;4;1;14,5;0
